# scale  mvir rvir rs x y z vx vy vz Ax Ay Az b_to_a c_to_a Jx Jy Jz
0.66503 697200000000.0 207.191 39.178 63.34025 62.06403 68.61591 67.56 -85.85 346.54 9.20169 1.38094 -6.62128 0.52279 0.49694 431500000000.0 28210000000.0 -18220000000.0
0.6566 699800000000.0 208.017 39.777 63.32864 62.07655 68.56493 69.94 -86.8 345.87 9.59083 1.58185 -7.14414 0.50995 0.48216 429300000000.0 43160000000.0 -33800000000.0
0.64828 696900000000.0 208.286 39.194 63.31345 62.08815 68.51784 69.2 -87.79 343.72 9.24421 1.99083 -6.87898 0.49734 0.46438 396700000000.0 70250000000.0 -63060000000.0
0.64007 700900000000.0 209.223 38.167 63.30649 62.10657 68.46535 68.02 -93.21 342.77 13.3299 2.30536 -9.18867 0.54023 0.45929 339800000000.0 96270000000.0 -94770000000.0
0.63197 702100000000.0 209.879 34.768 63.29537 62.12315 68.41473 72.31 -96.13 345.4 15.2483 1.02943 -12.248 0.60132 0.46761 284200000000.0 81470000000.0 -98630000000.0
0.62396 701300000000.0 210.322 34.757 63.28646 62.1368 68.36137 72.04 -102.77 344.74 16.309 3.46252 -12.7827 0.56902 0.44099 226300000000.0 64980000000.0 -95160000000.0
0.61606 707300000000.0 211.423 35.555 63.26749 62.14025 68.31515 80.03 -110.44 334.77 11.1781 1.34908 -9.43904 0.39937 0.40942 314700000000.0 75050000000.0 16990000000.0
0.60825 719700000000.0 213.155 29.958 63.26683 62.16683 68.25594 79.49 -106.17 340.67 17.6964 4.80254 -14.6507 0.47188 0.38962 139100000000.0 118900000000.0 -145000000000.0
0.60055 725600000000.0 214.234 34.682 63.26447 62.17188 68.19737 65.6 -121.39 358.27 13.3154 0.13404 -10.7146 0.39818 0.38282 65130000000.0 107400000000.0 -223000000000.0
0.59294 729600000000.0 215.103 41.842 63.23138 62.18729 68.16223 83.76 -85.62 348.22 8.66091 0.86722 -6.97955 0.41124 0.37906 184700000000.0 22070000000.0 -136700000000.0
0.58543 737500000000.0 216.355 48.117 63.2361 62.19944 68.09914 47.22 -102.36 377.64 11.8225 1.14563 -8.72044 0.37661 0.37909 109000000000.0 -32410000000.0 -227800000000.0
0.57802 738100000000.0 216.868 58.717 63.23564 62.2123 68.03911 33.78 -87.62 382.13 13.3699 -0.04087 -9.27982 0.32268 0.3578 74970000000.0 -80610000000.0 -264900000000.0
0.57069 732500000000.0 216.77 63.58 63.23363 62.22548 67.98084 41.05 -88.82 373.28 13.7733 0.33449 -9.37861 0.29469 0.35418 7187000000.0 -135000000000.0 -296600000000.0
0.56346 722800000000.0 216.247 68.016 63.2297 62.2387 67.9248 53.79 -86.96 366.48 14.6366 0.41526 -9.58951 0.29919 0.33784 -15990000000.0 -182100000000.0 -289200000000.0
0.55633 708800000000.0 215.261 60.986 63.22274 62.25149 67.87056 66.86 -85.84 358.9 14.3233 0.39796 -9.70593 0.34227 0.34712 -32510000000.0 -205900000000.0 -283900000000.0
0.54928 687400000000.0 213.479 46.789 63.2135 62.26343 67.81859 83.67 -79.6 355.72 14.9369 0.44846 -9.9762 0.37608 0.36962 -17790000000.0 -332200000000.0 -238400000000.0
0.54232 672600000000.0 212.34 27.276 63.17957 62.2743 67.77897 91.68 -77.2 353.69 26.6626 0.7283 -18.0315 0.31092 0.37387 -8494000000.0 -296800000000.0 -231200000000.0
0.53545 653100000000.0 210.644 28.978 63.18699 62.2835 67.72091 127.92 -78.87 329.79 13.9303 0.01155 -9.738 0.37823 0.39011 -26370000000.0 -319500000000.0 -221000000000.0
0.52867 645400000000.0 210.18 22.253 63.16225 62.29321 67.67223 73.69 -80.63 346.7 -8.32029 -0.0636 8.85004 0.54981 0.49815 -59690000000.0 -259600000000.0 -255300000000.0
0.52197 643600000000.0 210.348 31.082 63.13297 62.3063 67.63268 120.19 -73.56 299.35 11.0201 0.18187 -7.87243 0.54298 0.50057 10020000000.0 -319000000000.0 -175900000000.0
0.51536 631800000000.0 209.409 46.396 63.10387 62.31411 67.60145 129.37 -71.81 287.17 19.4227 1.2436 -17.8744 0.28277 0.33018 126400000000.0 -311600000000.0 -52130000000.0
0.50883 612600000000.0 207.599 60.747 63.09017 62.32958 67.55495 124.0 -75.64 273.94 -9.2956 -0.21622 10.5233 0.40957 0.30407 73620000000.0 -336700000000.0 -129600000000.0
0.50239 571300000000.0 203.151 74.129 63.06478 62.33774 67.52643 113.13 -80.62 290.51 -9.61126 -4.2961 15.3591 0.65685 0.22152 123600000000.0 -223400000000.0 -89090000000.0
0.49602 512800000000.0 196.27 69.357 63.04534 62.34999 67.48872 117.99 -73.16 283.07 -10.1989 -4.30923 15.9755 0.72028 0.29686 105600000000.0 -178700000000.0 -63720000000.0
0.48974 415600000000.0 183.253 40.327 63.02873 62.36311 67.44791 113.8 -76.74 276.37 -10.7808 -3.10973 14.827 0.80543 0.65279 120900000000.0 5360000000.0 -8146000000.0
0.48354 392500000000.0 180.058 39.54 63.01863 62.38136 67.39511 104.99 -78.96 264.63 -5.49035 6.80716 2.79165 0.8538 0.74049 47770000000.0 19720000000.0 -41230000000.0
0.47741 367100000000.0 176.335 31.418 63.00518 62.39445 67.35743 105.28 -67.36 260.91 -4.7469 5.9464 2.32254 0.89142 0.79245 76780000000.0 102300000000.0 -24050000000.0
0.47137 350200000000.0 173.827 26.169 62.98223 62.40429 67.3326 113.53 -73.79 257.08 -4.69056 3.7412 14.9221 0.92372 0.78153 124300000000.0 144300000000.0 2935000000.0
0.4654 330900000000.0 170.799 25.886 62.96391 62.41649 67.29538 123.22 -83.72 261.4 -0.75238 2.93403 16.3313 0.94108 0.85449 163200000000.0 183200000000.0 2356000000.0
0.4595 317800000000.0 168.727 30.636 62.95572 62.43454 67.25198 130.58 -82.63 262.78 4.47552 2.6823 6.74834 0.74412 0.82795 146500000000.0 198900000000.0 -63390000000.0
0.45368 307100000000.0 167.032 32.9 62.9362 62.44737 67.21227 120.23 -65.65 271.62 4.3498 1.2802 6.74984 0.90251 0.78813 166700000000.0 181000000000.0 -24810000000.0
0.44793 285100000000.0 163.132 32.177 62.9195 62.46084 67.17186 109.06 -77.46 278.29 4.78338 1.74531 7.17848 0.79496 0.79923 167900000000.0 164000000000.0 4956000000.0
0.44226 272400000000.0 160.861 30.591 62.90382 62.47242 67.13148 103.88 -67.86 279.79 4.4104 2.43511 7.16662 0.74731 0.78655 164900000000.0 159100000000.0 10560000000.0
0.43666 261600000000.0 158.897 22.568 62.8909 62.47311 67.09644 97.42 -61.09 272.02 1.82569 -5.30446 14.2233 0.82544 0.72914 147400000000.0 153800000000.0 23170000000.0
0.43113 252300000000.0 157.166 26.369 62.87623 62.49034 67.05103 95.86 -52.36 274.29 0.37018 -0.05576 8.61929 0.87533 0.80102 157700000000.0 145600000000.0 31990000000.0
0.42566 244800000000.0 155.757 25.295 62.86293 62.49886 67.01277 85.18 -51.11 262.22 -0.48118 -1.14348 8.64907 0.83934 0.79562 152900000000.0 152200000000.0 31480000000.0
0.42027 233400000000.0 153.46 24.254 62.8493 62.50524 66.97467 82.27 -41.7 255.3 -1.80087 -0.17275 8.27665 0.84647 0.7958 163600000000.0 143900000000.0 9901000000.0
0.41495 225600000000.0 151.895 22.898 62.83867 62.5097 66.94092 82.27 -45.85 249.98 -2.01625 3.74786 6.74963 0.93511 0.83239 150000000000.0 134800000000.0 306900000.0
