# scale mvir dist vel rvir rs vmax rvmax x y z
0.55633 289200000.0 0.8386344059163764 85.24914931946749 15.967 1.056 16.79 0.62315 62.78364 62.43273 68.56168
0.54928 296800000.0 0.8419034142919394 68.69916285786451 16.135 1.311 16.78 0.58329 62.7623 62.43967 68.50718
0.54232 295800000.0 0.8234361154151718 59.88202962092276 16.148 1.045 17.19 0.55915 62.74084 62.44696 68.45406
0.53545 288200000.0 0.8471093147957472 46.14403197438473 16.037 0.536 17.91 4.0941 62.71968 62.45606 68.40607
0.52867 144300000.0 0.8421494455472824 79.68980274889769 12.757 0.308 15.39 1.77103 62.69958 62.46097 68.35561
0.52197 153300000.0 0.8271674718255008 53.761108597611106 13.04 0.381 15.36 1.73109 62.67926 62.46609 68.3056
0.51536 159800000.0 0.8077276002596988 48.86657102700667 13.243 0.465 15.25 1.64006 62.65922 62.4719 68.25705
0.50883 174300000.0 0.8087273919519232 53.12914918189244 13.654 0.489 15.69 2.29624 62.63976 62.47785 68.21007
0.50239 301900000.0 0.7908069310737428 43.29414476118498 16.425 1.012 16.11 2.02592 62.62102 62.48389 68.16447
0.49602 305000000.0 0.7835565259691326 34.82703811301383 16.505 1.022 16.18 1.99531 62.60299 62.49009 68.12012
0.48974 303800000.0 0.7805116494259067 37.54753312327392 16.508 0.963 15.92 2.00901 62.58577 62.49627 68.0766
0.48354 303500000.0 0.7903889835181337 42.08465666094421 16.527 1.214 16.1 1.9815 62.56949 62.50266 68.03407
0.47741 302400000.0 0.7872810964399352 31.386612110701005 16.531 1.232 16.12 2.09703 62.55394 62.50925 67.99226
0.47137 300100000.0 0.7691972202906583 37.61296476769323 16.51 1.224 16.19 2.0992 62.53896 62.51597 67.95123
0.4654 305500000.0 0.7635675118167102 47.27211141746267 16.631 1.322 16.11 1.98746 62.52465 62.52293 67.91081
0.4595 310800000.0 0.7678679696465032 52.050904819506684 16.748 1.488 15.89 2.41424 62.51112 62.53003 67.87072
0.45368 321300000.0 0.7635219132923209 34.60316005983765 16.957 1.284 16.01 2.20465 62.49806 62.53746 67.83105
0.44793 332500000.0 0.7614776512123766 34.68776922219222 17.171 1.77 15.96 2.57177 62.48547 62.545 67.79185
0.44226 339900000.0 0.7603534629644705 27.23566743361322 17.319 1.947 16.14 2.50036 62.47334 62.55273 67.75307
0.43666 340000000.0 0.7576707145153464 18.35069342394234 17.34 1.955 16.05 2.6053 62.46157 62.56059 67.71458
0.43113 342500000.0 0.7607261634086728 19.457847876590346 17.402 1.962 16.02 3.06036 62.45016 62.56855 67.67638
0.42566 341700000.0 0.7596492635899212 10.498315036112732 17.408 1.87 16.24 2.36409 62.43913 62.57647 67.63842
0.42027 339900000.0 0.7584326409362477 18.7664642063657 17.394 1.651 16.28 2.26061 62.42844 62.58442 67.60063
0.41495 365600000.0 0.7555584162536556 20.568508869474513 17.84 1.955 16.56 10.501 62.41805 62.59225 67.56312
0.40969 364400000.0 0.7492495539705298 45.60261604059771 17.839 1.885 16.63 10.5399 62.40797 62.60003 67.52561
0.4045 362900000.0 0.7416252548505007 50.700761505910165 17.83 2.144 16.37 11.337 62.39827 62.60764 67.48801
0.39938 358800000.0 0.7343929051616654 51.728986021230334 17.779 2.445 16.52 2.61906 62.38881 62.6152 67.45043
0.39432 350000000.0 0.7279588518031052 52.68934779332843 17.648 2.614 16.38 2.98626 62.37942 62.62292 67.41277
0.38933 333000000.0 0.7217341573146426 60.68550903750515 17.374 2.165 16.29 2.70448 62.37003 62.63055 67.37521
0.3844 244400000.0 0.7152360540199371 46.858912244149266 15.684 1.349 16.24 2.7718 62.36074 62.63823 67.33765
0.37953 224500000.0 0.706529884564888 59.765912682010445 15.259 1.169 16.36 2.6994 62.35149 62.64591 67.30026
0.37472 216500000.0 0.6984738361214258 59.090975952146096 15.088 1.098 16.37 2.95512 62.34232 62.65361 67.26312
0.36997 211500000.0 0.6915067334984993 51.45742340813161 14.981 1.009 16.58 2.81036 62.33323 62.66129 67.22606
0.36529 207200000.0 0.6859525654584067 48.17572919954783 14.889 1.002 16.54 2.70239 62.32425 62.66895 67.18915
0.36066 204900000.0 0.6804621391853423 46.84648486960437 14.844 1.073 16.45 2.97379 62.31536 62.67672 67.15247
0.35609 203000000.0 0.67460146096542 47.85334986658734 14.808 1.166 16.22 3.02176 62.30641 62.68446 67.11582
0.35158 201200000.0 0.6719456044570883 47.813910000209866 14.775 1.151 16.11 3.84292 62.29759 62.69215 67.07936
0.34713 199400000.0 0.6658890411200382 49.34218038923771 14.741 1.181 16.27 3.34002 62.28868 62.70004 67.04302
0.34273 197300000.0 0.6614715969449058 56.735376786331834 14.698 1.19 16.28 3.35185 62.27979 62.70772 67.00695
0.33839 196000000.0 0.6589595248418526 54.81672722901805 14.674 1.248 16.21 3.13331 62.27098 62.71542 66.97099
0.3341 194000000.0 0.6514073370169812 47.45078100013979 14.633 1.301 16.17 2.86241 62.26229 62.72312 66.93523
0.32987 191600000.0 0.6438909065122939 53.71889244045635 14.579 1.335 16.2 3.14716 62.25367 62.73088 66.89973
0.32569 189200000.0 0.6360359140187816 39.9800712448197 14.528 1.282 16.14 3.50625 62.24505 62.73869 66.86427
0.32157 185000000.0 0.6464305930315559 55.96908908219456 14.427 1.23 16.03 3.72456 62.23662 62.74647 66.82901
